global_mass,global_volume,global_width,global_length,global_surface_area,global_divide,global_dead,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_antibiotic,cell_porin,external_antibiotic,fluxes_import,time
2459.9959845600797,2.236359985963709e-15,1.0,3.180755303725701,9.207239331653986,0.0,0.0,1346.0,1182842.0,0.001,0.8782825863082911,0.26635255907974476,1e-20,1.0004101072450429,0.0,2106.0
2460.7065618668967,2.237005965333543e-15,1.0,3.1815777902044564,9.20982324913332,0.0,0.0,1347.0,1183348.0,0.001,0.8784043037219829,0.26621787714630146,1e-20,1.0004104070685518,0.0,2107.0
2461.4173444261255,2.2376521312964787e-15,1.0,3.1824005142609275,9.21240791298506,0.0,0.0,1347.0,1183853.0,0.001,0.8785258994182609,0.2660832237616284,1e-20,1.0004107068919257,0.0,2108.0
2462.128332297054,2.238298483906413e-15,1.0,3.1832234759637394,9.214993323424801,0.0,0.0,1347.0,1184359.0,0.001,0.8786473735188426,0.2659485989621895,1e-20,1.0004110067151646,0.0,2109.0
2462.839525538987,2.2389450232172615e-15,1.0,3.184046675381537,9.217579480668192,0.0,0.0,1348.0,1184865.0,0.001,0.8787687261453238,0.2658140027843967,1e-20,1.0004113065382685,0.0,2110.0
2463.550924211246,2.2395917492829517e-15,1.0,3.184870112582985,9.220166384930955,0.0,0.0,1348.0,1185370.0,0.001,0.8788899574191784,0.2656794352646105,1e-20,1.0004116063612376,0.0,2111.0
2464.2625283731713,2.2402386621574294e-15,1.0,3.185693787636768,9.222754036428864,0.0,0.0,1349.0,1185876.0,0.001,0.8790110674617593,0.2655448964391397,1e-20,1.0004119061840717,0.0,2112.0
2464.9743380841187,2.2408857618946538e-15,1.0,3.18651770061159,9.225342435377762,0.0,0.0,1349.0,1186382.0,0.001,0.8791320563942975,0.26541038634424136,1e-20,1.000412206006771,0.0,2113.0
2465.6863534034615,2.241533048548602e-15,1.0,3.1873418515761758,9.227931581993555,0.0,0.0,1349.0,1186888.0,0.001,0.8792529243379031,0.265275905016121,1e-20,1.0004125058293356,0.0,2114.0
2466.3985743905905,2.2421805221732644e-15,1.0,3.1881662405992697,9.230521476492207,0.0,0.0,1350.0,1187394.0,0.001,0.8793736714135653,0.2651414524909327,1e-20,1.0004128056517654,0.0,2115.0
2467.111001104913,2.242828182822649e-15,1.0,3.188990867749635,9.233112119089743,0.0,0.0,1350.0,1187900.0,0.001,0.8794942977421517,0.2650070288047787,1e-20,1.0004131054740604,0.0,2116.0
2467.823633605855,2.2434760305507778e-15,1.0,3.1898157330960553,9.23570351000226,0.0,0.0,1351.0,1188406.0,0.001,0.8796148034444096,0.2648726339937102,1e-20,1.0004134052962206,0.0,2117.0
2468.5364719528575,2.2441240654116895e-15,1.0,3.1906408367073347,9.238295649445906,0.0,0.0,1351.0,1188912.0,0.001,0.8797351886409651,0.2647382680937265,1e-20,1.0004137051182462,0.0,2118.0
2469.24951620538,2.244772287459437e-15,1.0,3.191466178652296,9.240888537636895,0.0,0.0,1351.0,1189418.0,0.001,0.8798554534523242,0.2646039311407758,1e-20,1.000414004940137,0.0,2119.0
2469.9627664228997,2.2454206967480913e-15,1.0,3.1922917589997843,9.243482174791513,0.0,0.0,1352.0,1189924.0,0.001,0.8799755979988718,0.2644696231707547,1e-20,1.0004143064224325,0.0,2120.0
2470.6762226649093,2.2460692933317362e-15,1.0,3.1931175778186613,9.246076561126092,0.0,0.0,1352.0,1190430.0,0.001,0.8800956224008729,0.2643353442195092,1e-20,1.0004146079045932,0.0,2121.0
2471.38988499092,2.2467180772644736e-15,1.0,3.193943635177811,9.248671696857041,0.0,0.0,1353.0,1190936.0,0.001,0.880215526778472,0.2642010943228333,1e-20,1.0004149093866195,0.0,2122.0
2472.1037534604598,2.2473670486004186e-15,1.0,3.194769931146136,9.251267582200821,0.0,0.0,1353.0,1191442.0,0.001,0.8803353112516935,0.2640668735164696,1e-20,1.0004152108685112,0.0,2123.0
2472.8178281330734,2.2480162073937034e-15,1.0,3.195596465792559,9.253864217373962,0.0,0.0,1353.0,1191948.0,0.001,0.8804549759404419,0.2639326818361096,1e-20,1.0004155123502683,0.0,2124.0
2473.5321090683237,2.248665553698477e-15,1.0,3.196423239186024,9.256461602593056,0.0,0.0,1354.0,1192454.0,0.001,0.8805745209645014,0.2637985193173933,1e-20,1.0004158138318908,0.0,2125.0
2474.24659632579,2.2493150875689004e-15,1.0,3.1972502513954923,9.25905973807475,0.0,0.0,1354.0,1192960.0,0.001,0.8806939464435369,0.26366438599590974,1e-20,1.000416115313379,0.0,2126.0
2474.9612899650697,2.2499648090591547e-15,1.0,3.1980775024899484,9.261658624035768,0.0,0.0,1354.0,1193467.0,0.001,0.8808132524970934,0.26353028190719674,1e-20,1.0004164167947327,0.0,2127.0
2475.676190045776,2.2506147182234336e-15,1.0,3.198904992538394,9.264258260692882,0.0,0.0,1355.0,1193973.0,0.001,0.8809324392445963,0.26339620708674083,1e-20,1.000416718275952,0.0,2128.0
2476.3912966275407,2.251264815115947e-15,1.0,3.199732721609851,9.266858648262934,0.0,0.0,1355.0,1194479.0,0.001,0.8810515068053517,0.2632621615699776,1e-20,1.000417019757037,0.0,2129.0
2477.106609770012,2.2519150997909205e-15,1.0,3.2005606897733627,9.269459786962829,0.0,0.0,1356.0,1194986.0,0.001,0.8811704552985463,0.26312814539229146,1e-20,1.0004173212379877,0.0,2130.0
2477.8221295328553,2.2525655723025965e-15,1.0,3.2013888970979916,9.272061677009532,0.0,0.0,1356.0,1195492.0,0.001,0.8812892848432478,0.26299415858901576,1e-20,1.000417622718804,0.0,2131.0
2478.537855975754,2.253216232705232e-15,1.0,3.2022173436528205,9.274664318620076,0.0,0.0,1356.0,1195998.0,0.001,0.8814079955584045,0.26286020119543296,1e-20,1.000417924199486,0.0,2132.0
2479.2537891584084,2.253867081053099e-15,1.0,3.2030460295069507,9.277267712011543,0.0,0.0,1357.0,1196505.0,0.001,0.8815265875628462,0.26272627324677444,1e-20,1.0004182256800336,0.0,2133.0
2479.9699291405354,2.2545181174004873e-15,1.0,3.2038749547295056,9.279871857401098,0.0,0.0,1357.0,1197011.0,0.001,0.8816450609752834,0.2625923747782206,1e-20,1.000418527160447,0.0,2134.0
2480.68627598187,2.2551693418017008e-15,1.0,3.204704119389627,9.282476755005952,0.0,0.0,1358.0,1197518.0,0.001,0.8817634159143081,0.26245850582490104,1e-20,1.0004188286407263,0.0,2135.0
2481.402829742164,2.255820754311059e-15,1.0,3.205533523556477,9.285082405043383,0.0,0.0,1358.0,1198024.0,0.001,0.8818816524983938,0.26232466642189445,1e-20,1.0004191301208714,0.0,2136.0
2482.1195904811866,2.2564723549828976e-15,1.0,3.2063631672992376,9.287688807730738,0.0,0.0,1358.0,1198531.0,0.001,0.8819997708458954,0.26219085660422853,1e-20,1.0004194316008823,0.0,2137.0
