"agents,0,boundary,mass","agents,0,boundary,volume","agents,0,boundary,width","agents,0,boundary,length","agents,0,boundary,surface_area","agents,0,internal,protein","agents,1,boundary,mass","agents,1,boundary,volume","agents,1,boundary,width","agents,1,boundary,length","agents,1,boundary,surface_area","agents,1,internal,protein","total_global,mass","total_global,volume",time
1418.9583645474333,1.2886728489587218,1.0,1.9741225648541014,5.416490783634037,40885967.18432058,1418.9584339579653,1.2886728805089636,1.0,1.974122605025117,5.416490909835004,40885969.18432058,2837.9167985053987,2.5773457294676856,58.0
1420.3780181561765,1.2899621495885758,1.0,1.9757641534010837,5.421647986153453,40926873.18432058,1420.3781222719745,1.2899622126890593,1.0,1.9757642337431145,5.421648238555387,40926876.18432058,2840.756140428151,2.579924362277635,59.0
1421.7990946808236,1.2912527437783423,1.0,1.9774073889596997,5.426810362912519,40967820.18432058,1421.7991987966216,1.2912528384290678,1.0,1.9774075094727463,5.426810741515421,40967823.18432058,2843.598293477445,2.58250558220741,60.0
1423.2215941213742,1.2925446315280213,1.0,1.97905227152995,5.4319779139112345,41008808.18432058,1423.2216982371722,1.2925447261787468,1.0,1.9790523920429965,5.431978292514136,41008811.18432058,2846.4432923585464,2.585089357706768,61.0
1424.6455164778288,1.293837812837613,1.0,1.9806988011118343,5.437150639149602,41049837.18432058,1424.6456205936265,1.2938379074883384,1.0,1.980698921624881,5.4371510177525035,41049840.18432058,2849.2911370714555,2.5876757203259513,62.0
1426.070896455453,1.295132287707117,1.0,1.9823469777053528,5.442328538627617,41090908.18432058,1426.0709658659846,1.2951323823578422,1.0,1.982347098218399,5.442328917230518,41090910.18432058,2852.1418623214377,2.5902646700649594,63.0
1427.4976993489809,1.2964280876867755,1.0,1.9839968414815212,5.447511738546252,41132020.18432058,1427.4977687595126,1.2964281507872588,1.0,1.9839969218235516,5.447511990948184,41132022.18432058,2854.9954681084937,2.5928562384740346,64.0
1428.9259251584124,1.2977251812263462,1.0,1.985648352269323,5.452700112704534,41173173.18432058,1428.9259945689444,1.2977252443268297,1.0,1.9856484326113537,5.452700365106468,41173175.18432058,2857.8519197273567,2.595450425553176,65.0
1430.3555738837476,1.2990235683258295,1.0,1.9873015100687592,5.457893661102467,41214367.18432058,1430.3556432942796,1.299023631426313,1.0,1.98730159041079,5.457893913504401,41214369.18432058,2860.7112171780273,2.5980471997521426,66.0
1431.7866455249869,1.3003232489852252,1.0,1.9889563148798293,5.463092383740051,41255602.18432058,1431.7866802302528,1.3003233120857087,1.0,1.98895639522186,5.463092636141985,41255603.18432058,2863.5733257552397,2.600646561070934,67.0
1433.2191400821296,1.3016242232045334,1.0,1.9906127667025335,5.468296280617284,41296878.18432058,1433.2191747873956,1.3016242547547754,1.0,1.990612806873549,5.468296406818251,41296879.18432058,2866.438314869525,2.603248477959309,68.0
1434.6530922604422,1.3029264909837541,1.0,1.9922708655368715,5.473505351734166,41338196.18432058,1434.653126965708,1.3029265225339959,1.0,1.992270905707887,5.473505477935133,41338197.18432058,2869.3062192261505,2.6058530135177502,69.0
1436.0884326493926,1.3042300838731293,1.0,1.9939306515538597,5.4787197232916665,41379554.18432058,1436.0884673546586,1.3042301154233709,1.0,1.993930691724875,5.4787198494926335,41379555.18432058,2872.1769000040513,2.6084601992965,70.0
1437.5252306595125,1.305534938772175,1.0,1.995592044411466,5.48393914288785,41420954.18432058,1437.5253000700443,1.3055349703224168,1.0,1.9955920845824817,5.483939269088817,41420956.18432058,2875.050530729557,2.611069909094592,71.0
1438.9634862908022,1.306841118781375,1.0,1.9972551244517223,5.48916386292465,41462396.18432058,1438.9635209960682,1.3068411818818584,1.0,1.9972552047937526,5.489164115326583,41462397.18432058,2877.9270072868703,2.6136823006632337,72.0
1440.4031648379957,1.3081486239007292,1.0,1.9989198916746274,5.494393883402067,41503879.18432058,1440.4031995432617,1.3081486554509711,1.0,1.9989199318456432,5.494394009603035,41503880.18432058,2880.8063643812575,2.6162972793517003,73.0
1441.8443010063586,1.3094574225799962,1.0,2.0005863059091675,5.499629078119135,41545404.18432058,1441.8443010063586,1.309457454130238,1.0,2.0005863460801825,5.499629204320101,41545404.18432058,2883.688602012717,2.6189148767102344,74.0
1443.2868600906256,1.3107675463694168,1.0,2.002254407326356,5.504869573276817,41586970.18432058,1443.2868600906256,1.3107675463694168,1.0,2.002254407326356,5.504869573276817,41586970.18432058,2886.5737201812512,2.6215350927388337,75.0
1444.7308767960621,1.3120789637187507,1.0,2.00392415575518,5.5101152426741535,41628578.18432058,1444.7308767960621,1.3120789637187507,1.0,2.00392415575518,5.5101152426741535,41628578.18432058,2889.4617535921243,2.6241579274375013,76.0
1446.1763511226684,1.3133917061782383,1.0,2.005595591366652,5.515366212512102,41670228.18432058,1446.1763164174024,1.3133917061782383,1.0,2.005595591366652,5.515366212512102,41670227.18432058,2892.352667540071,2.6267834123564766,77.0
1447.6232830704444,1.3147057737478804,1.0,2.007268714160775,5.520622482790673,41711920.18432058,1447.6232136599126,1.3147057421976385,1.0,2.007268673989759,5.520622356589704,41711918.18432058,2895.2464967303567,2.629411515945519,78.0
1449.0716379341243,1.3160211664276766,1.0,2.008943524137546,5.525884053509856,41753653.18432058,1449.071568523592,1.3160211033271934,1.0,2.0089434437955154,5.525883801107922,41753651.18432058,2898.1432064577166,2.63204226975487,79.0
1450.5214504189732,1.3173378526673858,1.0,2.0106199811259526,5.531150798468693,41795428.18432058,1450.5213810084415,1.3173377895669018,1.0,2.0106199007839214,5.531150546066758,41795426.18432058,2901.042831427415,2.6346756422342876,80.0
1451.9726858197264,1.3186558640172483,1.0,2.0122981252970074,5.536422843868143,41837244.18432058,1451.9726511144604,1.318655800916765,1.0,2.012298044954977,5.536422591466211,41837243.18432058,2903.945336934187,2.637311664934013,81.0
1453.425378841649,1.319975168927024,1.0,2.013977916479697,5.541700063507246,41879102.18432058,1453.4253441363833,1.3199751373767823,1.0,2.0139778763086813,5.541699937306278,41879101.18432058,2906.8507229780325,2.639950306303806,82.0
1454.8795294847419,1.3212957989469536,1.0,2.0156593948450356,5.5469825835869635,41921002.18432058,1454.8794947794756,1.321295767396712,1.0,2.0156593546740202,5.546982457385997,41921001.18432058,2909.7590242642173,2.6425915663436657,83.0
1456.335137749004,1.322617754077038,1.0,2.0173425603930246,5.552270404107301,41962944.18432058,1456.335068338472,1.322617722526796,1.0,2.0173425202220088,5.552270277906333,41962942.18432058,2912.670206087476,2.645235476603834,84.0
1457.7921689291697,1.3239410343172764,1.0,2.0190274131236627,5.557563525068255,42004927.18432058,1457.7920995186378,1.3239409712167927,1.0,2.019027332781632,5.5575632726663216,42004925.18432058,2915.5842684478075,2.6478820055340693,85.0
1459.2506577305053,1.325265608117427,1.0,2.0207139128659346,5.562861820268857,42046952.18432058,1459.2506230252393,1.3252655450169435,1.0,2.020713832523904,5.562861567866923,42046951.18432058,2918.5012807557446,2.6505311531343705,86.0
1460.7106041530105,1.326591507027732,1.0,2.0224020997908565,5.568165415910078,42089019.18432058,1460.7106041530105,1.3265914754774903,1.0,2.022402059619841,5.568165289709111,42089019.18432058,2921.421208306021,2.653182982505222,87.0
1462.1720429019515,1.3279187310481915,1.0,2.024091973898428,5.573474311991916,42131129.18432058,1462.1720776072175,1.3279187310481915,1.0,2.024091973898428,5.573474311991916,42131130.18432058,2924.344120509169,2.655837462096383,88.0
1463.634973977328,1.3292473117290469,1.0,2.025783575359664,5.5787886347153375,42173282.18432058,1463.634973977328,1.3292473432792886,1.0,2.0257836155306794,5.578788760916304,42173282.18432058,2927.269947954656,2.6584946550083357,89.0
