internal_porin,internal_AcrAB-TolC,internal_antibiotic,external_antibiotic,fluxes_antibiotic_import,fluxes_antibiotic_export,exchange_antibiotic,global_growth_rate,global_mass,global_volume,global_mmol_to_counts,global_prior_mass,global_density,time
1.0,1.0,0.05424343974178863,0.9340433882518587,6.0889032076801053e-05,1.6569609660408247e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1030.0
1.0,1.0,0.0542877453836053,0.9339902510017092,6.088767732418973e-05,1.6582035507515973e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1031.0
1.0,1.0,0.054332037250274655,0.9339371137515596,6.088632247772144e-05,1.6594455808362023e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1032.0
1.0,1.0,0.05437631534724566,0.9338839765014101,6.088496753738644e-05,1.6606870566385934e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1033.0
1.0,1.0,0.05442057967996381,0.9338308392512605,6.0883612503174996e-05,1.6619279785024248e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1034.0
1.0,1.0,0.05446483025387118,0.933777702001111,6.0882257375077296e-05,1.663168346771048e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1035.0
1.0,1.0,0.054509067074406385,0.9337245647509614,6.0880902153083635e-05,1.6644081617875153e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1036.0
1.0,1.0,0.05455329014700462,0.9336714275008119,6.087954683718423e-05,1.665647423894577e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1037.0
1.0,1.0,0.05459749947709765,0.9336182902506623,6.087819142736931e-05,1.6668861334346854e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1038.0
1.0,1.0,0.05464169507011377,0.9335651530005128,6.0876835923629156e-05,1.668124290749994e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1039.0
1.0,1.0,0.0546858769314779,0.9335120157503632,6.0875480325953954e-05,1.669361896182354e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1040.0
1.0,1.0,0.054730045066611506,0.9334588785002137,6.0874124634333975e-05,1.670598950073321e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1041.0
1.0,1.0,0.05477419948093262,0.9334057412500641,6.087276884875942e-05,1.6718354527641492e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1042.0
1.0,1.0,0.05481834017985589,0.9333526039999146,6.0871412969220554e-05,1.6730714045957972e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1043.0
1.0,1.0,0.054862467168792506,0.933299466749765,6.0870056995707604e-05,1.6743068059089244e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1044.0
1.0,1.0,0.05490658045315028,0.9332463294996155,6.086870092821078e-05,1.6755416570438925e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1045.0
1.0,1.0,0.05495068003833359,0.933193192249466,6.0867344766720325e-05,1.6767759583407668e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1046.0
1.0,1.0,0.05499476592974342,0.9331400549993164,6.086598851122644e-05,1.6780097101393155e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1047.0
1.0,1.0,0.05503883813277735,0.9330869177491669,6.08646321617194e-05,1.6792429127790107e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1048.0
1.0,1.0,0.055082896652829554,0.9330337804990173,6.08632757181894e-05,1.6804755665990265e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1049.0
1.0,1.0,0.0551269414952908,0.9329806432488678,6.086191918062666e-05,1.681707671938244e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1050.0
1.0,1.0,0.05517097266554847,0.9329275059987182,6.08605625490214e-05,1.6829392291352463e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1051.0
1.0,1.0,0.05521499016898655,0.9328743687485687,6.0859205823363854e-05,1.684170238528322e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1052.0
1.0,1.0,0.05525899401098564,0.9328212314984191,6.085784900364424e-05,1.685400700455466e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1053.0
1.0,1.0,0.05530298419692295,0.9327680942482696,6.085649208985276e-05,1.686630615254377e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1054.0
1.0,1.0,0.0553469607321723,0.93271495699812,6.085513508197966e-05,1.687859983262461e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1055.0
1.0,1.0,0.05539092362210415,0.9326618197479705,6.0853777980015115e-05,1.689088804816829e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1056.0
1.0,1.0,0.05543487287208555,0.9326086824978209,6.0852420783949364e-05,1.6903170802542988e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1057.0
1.0,1.0,0.05547880848748021,0.9325555452476714,6.085106349377262e-05,1.691544809911395e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1058.0
1.0,1.0,0.055522730473648446,0.9325024079975218,6.084970610947508e-05,1.6927719941243495e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1059.0
1.0,1.0,0.0555666388359472,0.9324492707473723,6.0848348631046975e-05,1.6939986332291014e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1060.0
1.0,1.0,0.055610533579730066,0.9323961334972227,6.084699105847849e-05,1.6952247275612973e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1061.0
1.0,1.0,0.055654414710347266,0.9323429962470732,6.0845633391759835e-05,1.696450277456293e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1062.0
1.0,1.0,0.05569828223314566,0.9322898589969236,6.0844275630881226e-05,1.6976752832491514e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1063.0
1.0,1.0,0.05574213615346874,0.9322367217467741,6.084291777583286e-05,1.6988997452746447e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1064.0
1.0,1.0,0.055785976476656673,0.9321835844966245,6.084155982660497e-05,1.700123663867254e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1065.0
1.0,1.0,0.05582980320804625,0.932130447246475,6.084020178318769e-05,1.7013470393611698e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1066.0
1.0,1.0,0.05587361635297092,0.9320773099963254,6.083884364557129e-05,1.7025698720902928e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1067.0
1.0,1.0,0.05591741591676078,0.9320241727461759,6.083748541374593e-05,1.703792162388233e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1068.0
1.0,1.0,0.0559612019047426,0.9319710354960263,6.083612708770182e-05,1.7050139105883104e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1069.0
1.0,1.0,0.056004974322239796,0.9319178982458768,6.083476866742915e-05,1.7062351170235578e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1070.0
1.0,1.0,0.05604873317457245,0.9318647609957272,6.08334101529181e-05,1.7074557820267167e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1071.0
1.0,1.0,0.056092478467057304,0.9318116237455777,6.08320515441589e-05,1.7086759059302405e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1072.0
1.0,1.0,0.05613621020500778,0.9317584864954281,6.083069284114171e-05,1.7098954890662944e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1073.0
